Pattern	Replacement	Flags
高級弓技	上級弓技
人目を引かない小さな高台で、埃っぽい灯台を見つけました。	人目を引かない小さな高台で、埃っぽいオイルランプを見つけた。
小高い台はトラップで覆われているが、それでも不思議なランプホルダーを手に入れることができる。50%のHPを失う。金のオイルランプを獲得する。	小高い台はトラップで覆われていたが、それでも不思議なオイルランプを手に入れた。&50%のHPを失った。金のオイルランプを獲得した。
あなたたちは炎が連なる川の前に来ました。それが人の世の罪を燃やしています。	燃え盛る川の前にでた。この世の罪が焼き尽くされている。
目の前に輝いた川が現れた。ここの空気が暖かく湿っていて、とても気持ちよかった。何をしようかな？	目の前に輝く川が現れた。空気が暖かく湿っていて、とても気持ちよかった。何をしようかな？
洞窟のそこからプツプツという音がした	洞窟の底からプツプツという音がした
洞窟の底からブーブーという音がした。どうやらあなたの食物が洞窟の底にいる蜘蛛たちを引き寄せたらしい	洞窟の底からブンブンという音がした。どうやらあなたの食べ物が洞窟の底にいる蜘蛛たちを引き寄せたらしい
ここに綺麗な植物が生え茂っていて、	ここには綺麗な植物が生い茂っていて、
あなたの闇が10上がった。&【青い宝石卵】を手に入れた。&あなたの闇が10上がった。	【青い宝石卵】を手に入れた。&あなたの闇が5上がった。
あなたは残念の気持ちを抱いて離れていった	あなたは残念と思いつつも離れていった
しかしなぜか、あなたは心の中から温もりを感じた	そしてなぜか、あなたは心の中から温もりを感じた
あなたはその影に近づこうとしたが、それが消えてなくなってしまった	あなたはその影に近づこうとしたが、消えてなくなってしまった
こういう純潔な輝きを目の前に	この純潔な輝きを目の前に
こんな幸運なこともあったものだ！あなたの所持金が500増えた	幸運なこともあったものだ！あなたの所持金が500増えた
あなたは座って休息を取ろうとして、そこの石壁の中から金貨袋を見つけた。	あなたは座って休息を取ろうとして、近くの石壁の中から金貨袋を見つけた。
あなたは熱い空気に襲われ、涼しい洞窟の中に入りたくなる。&目の前に二つの洞窟があった	あなたは熱い空気に襲われ、涼しい洞窟の中に入りたくなった。&目の前に二つの洞窟がある
こんな暑い環境で、なんと小さな森が隠されていた。周りが静かで、私たちの目の前にあるのは暢気に飛んでいる色鮮やかな大きな蝶の群れだけだった	こんな暑い環境で、なんと隠れた小さな森があった。周りはとても静かで、目の前にはひらひらと飛んでいる色鮮やかな大きな蝶の群れだけが見える
蝶たちがあなたのそばにひらひらと飛んでいて、その翅からキラキラと輝く粉末を撒き散らした	蝶があなたのそばにひらひらと飛んでいて、舞い飛ぶ鱗粉はキラキラと輝いている
おかしな荘園	奇妙な邸宅
これは雄大な荘園だ	これは雄大な邸宅だ
灼熱なマグマがあなたの道を阻んだ	灼熱のマグマがあなたの道を阻んだ
この厳かで安らかな空間を踏み入れると	この厳かで安らかな空間に踏み入れると
あなたは宮殿で敬虔に祈りを捧げた。&あなたの闇が20下がった	あなたは宮殿で敬虔に祈りを捧げた。&あなたの闇が5下がった
ここの壁画に火山の女神が生まれてから今までの歴史を記録している	ここの壁画に火山の女神が生まれてから今までの歴史が記録されている
お父さんが家で新しい料理に挑戦する時のこと	お父さんが家で新しい料理に挑戦する日々
無尽の温泉口	無尽の温泉
ここに濃い煙が立ち上る温泉口	ここに濃い煙が立ち上る温泉
あなたは頭がくらくらしてきて	あなたは頭がくらくらしてきた
どれくらいの時間が経ったか、あなたは目を覚めた。&体の方は別状はないらしい。このまま進むか	どれくらい時間が経ったのだろうか、あなたは目が覚めた。&体の方は別状はないらしい。このまま進もう
あなたが徐々に目覚める。突然、耳元から声がした	あなたは徐々に意識を取り戻す。突然、耳元から声がした
あなたの理性が花の香りに勝てなかった。	あなたの理性は花の香りに勝てなかった。
冥瀬の表面に大小様々な穴がある。これは比較的に大きい穴で、直径は約五メートルほどである。大量な骨がここに積もっている。その中に、人間の頭蓋骨もあるが	冥瀬の表面に大小様々な穴がある。この穴は比較的に大きく、直径は約5mほどである。大量の骨がここに積もっている。その中に人間の頭蓋骨もあるが
濁っている噴水	濁った噴水
池の柱が精巧に作られていて、きっと有名な職人の手で作られているだろう	柱が精巧に作られていて、きっと有名な職人の手で作られているのだろう
ここら辺の木が少なくなってきて、陽の光の差し込んできた。&日差しの果てに、あなたは一つの梯子を見つけた	この辺りは木が少なく、日の光が差し込んできた。&光の先にあなたは梯子を見つけた
金貨の輝きであなたが貪欲になり	金貨の輝きであなたは貪欲になり
あなたはその声に無視して、精神を足に集中させた	あなたはその声を無視して、精神を足に集中させた
その子は素食の狼ではなかった	その狼はベジタリアンではなかった
香りに鼻をくすぶられた	香りに鼻をくすぐられた
あなたは何匹の蛇が地面に寝そべっていることに気づいた。その鱗が眩しいほどの金色の輝きを出している	あなたは何匹かの蛇が地面に寝そべっていることに気づいた。その鱗は眩しいほどの金色の輝きを出している
この蛇たちがぐっすり眠っているようだ	この蛇たちはぐっすり眠っているようだ
やはりそいつらの邪魔しないほうがいいと	やはりそいつらの邪魔はしないほうがいいと
あなたは挫いてしまい	あなたは挫けてしまい
時間でさえ止まっているようだった	時間さえ止まっているようだった
石ころくらい、あなたは興味を示さなかった	ただの石ころ、あなたは興味を示さなかった
ここの空気が暖かく湿っていて	ここの空気は暖かく湿っていて
返ってお父さんにでも相手してもらえ	帰ってパパにでも相手してもらえ
現場お雰囲気が完全に盛り上がってきたぞ	現場の雰囲気が完全に盛り上がってきたぞ
一緒に決めましょう？	一緒に決めようか？
村人からの来信	村人からの手紙
初期天賦のレベルの高いほど	初期天賦のレベルが高いほど
娘がお父さんへの評価を上げる	娘のお父さんへの評価を上げる
職業前景	将来
授業を進捗度を進める	授業の進捗度を進める
高ランクの職業エンディングば	高ランクの職業エンディングは
違う場所にはモンスターのステータスや弱点も異なる。強いモンスターには特殊効果を持つ攻撃を使ってくる	違う場所はモンスターのステータスや弱点も異なる。強いモンスターは特殊効果を持つ攻撃を使ってくる
*シーンの中で何かをした時	*がシーンの中で何かをした時
雰囲気値が5に到達すると、「曖昧」	雰囲気値が5に到達すると、「いちゃつく」
少しながら*の戦闘ステータスも上がる	少しだけ*の戦闘ステータスも上がる
大量な行動力を消耗して金貨を獲得できる	大量の行動力を消耗して金貨を獲得できる
高級職	上級職
実践課題のクリア条件がさらに厳しく	実践課題のクリア条件はさらに厳しく
選択肢を確認する	回答する
独特的な考えを持っているようだ	独特な研究を行ったようだ
古代の人が未来への期待	古代の人の未来への期待
前の自分の発言を補充することにした	前の自分の発言を補足することにした
ぬくもり感じさせる絵	ぬくもりを感じさせる絵
こんなじゃ、お父さんに褒めてもらえない	こんなんじゃ、お父さんに褒めてもらえない
毎日おうちで本を読んで行けたらいいのにな	毎日おうちで本を読んでいれたらいいのにな
パン鶴のぬいぐるみを包めて隠した。彼女はさんざん探して、最後に藪で隠しきれなかった鶴の嘴	ガチョウのぬいぐるみを包めて隠した。彼女はさんざん探して、最後に藪で隠しきれなかったガチョウの嘴
彼女はやはり壁でパン鶴の絵を描く	彼女はやはり壁でガチョウの絵を描く
*が今日あまりお描きしたくなかった。午後はずっと床で寝ていた	*が今日あまりお描きしたくなかったので、午後はずっと床で寝ていた
教授のイライラする顔がまったく気付かなかった	教授のイライラする顔にまったく気付かなかった
十本に七本が当たって	十本中七本が当たって
小型動物習性	小型動物の習性
隣のターゲットを命中して	隣のターゲットに命中して
礼拝儀式のもっとも肝心ないくつの段取りを勉強	礼拝儀式のもっとも肝心ないくつかの段取りを勉強
なんだかいつもより楽な気がして、教授にも*の成長を褒めてくれた	なんだかいつもより楽な気がして、教授も*の成長を褒めてくれた
数箇所修辞の間違いが指摘されたら、論述が完璧だ	数箇所表現の間違いが指摘されたが、論述は完璧だ
完璧にな研究報告を提出して、詳細な資料データや論証が教授でも賞賛の言葉が絶えなかった	完璧な研究報告を提出して、その詳細な資料データや論証に教授も賞賛の言葉が絶えなかった
タラ腹に食べた	たらふく食べた
暖炉を囲んでジャガイモやや豚肉を焼いた	暖炉を囲んでジャガイモや豚肉を焼いた
*は今日`と広場でぶらついてやら、`に誘われ酒を飲んだ。それを機に二人は通り過ぎた人たちを仲良くなった	*は今日`と広場でぶらついてたら、`に誘われ酒を飲んだ。そして友達と何人か会いました
リーキと空豆でスープを作ろうとしたら、塩つけの肉	ネギと空豆でスープを作ろうとしたら、塩漬けの肉
石壁に向かって叩いていた	石壁を叩いていた
子供の頃のの写真を見つけたんだ。&その時は本当に小さかったな～それがいつの間にかこのような美少女	子供の頃の写真を見つけたんだ。&その時は本当に小さかったな～それがいつの間にかこんな美少女
幼い頃から優れた画力で王室の画家に目をつけられ弟子にした	幼い頃から優れた画力で王室の画家に目をつけられ弟子にされた
よく平和な時代が永遠に続くようにと祈っている。#絵の依頼に嫌気を差し	平和な時代が永遠に続くようにと祈っている。#絵の依頼に嫌気が差し
いつも大収穫ができた	いつも大収穫だった
孤児だった彼が、難民とともに野馬湖に来た。村人たち助けられながら	孤児だった彼は、難民とともに野馬湖に来た。村人たちに助けられながら
火山国有名な音楽名門	火山国で有名な音楽の名門
音楽の才に恵まれていた。ランの幼馴染だ	音楽の才に恵まれていた。ランの幼馴染
家族はみんな優秀な者で、クレイグは	家族はみんな優秀で、クレイグは
ランは小さい頃から両親から	ランは小さい頃から両親に
放浪の賞金稼ぎ、	放浪の賞金稼ぎ。
忘れられし森	忘却の森	g
ずっとゼイの胸に刻んでいる	ずっとゼイの胸に刻まれている
わずか数年間で火山国有名な「雷霆裁判長」	わずか数年間で火山国で有名な「雷霆裁判長」
王宮に戻ってから積極的に人類文明の改造を受け、*と仲良くなってからは、時折歪んだじで	王宮に戻ってから積極的に文明の変化を受け入れ、*と仲良くなってからは、時折歪んだ字で
火山国の姫殿下、だが本人はその呼び方を嫌っている	火山国の姫、だが本人はその呼び方を嫌っている
鍛錬をするつもりで船頭になった。それから何十年もやっていた	鍛錬をするつもりで船頭になった。それから何十年と続けている
彼女目当てで来る客が大勢いて、その歌声を聞くためだけに来る客もいた	評判を聞きつけ、店には常に多くの人がやってくる。彼女の歌を聴くためだけに
幼い頃から父親から鍛造技術を学んできた。頑張り屋で物分りがよく、周囲の者に気を遣えるものだ	幼い頃から父親に鍛造技術を学んできた。頑張り屋で物分りがよく、周囲の者に気を遣える性格。
その仕事を引き継いた。お父さんのことが懐かしく	その仕事を引き継いだ。父親のことが懐かしく
ゼルマンずっと覚えている	ゼルマンはずっと覚えている
自分の考察隊と一緒にいくつもの価値のある魔物の研究論文を発表	仲間と一緒にいくつもの価値のある魔物の研究論文を発表
祭壇で智者として	智者として祭壇で
レベッサには人を驚嘆させるほどの戦闘能力を持ち	レベッサには人を驚嘆させるほどの戦闘能力があり
先生の言うことにちゃんと聞くこと	先生の言うことはちゃんと聞くこと
もし何か僕の創作意欲をくすぶることがあれば	もし何か僕の創作意欲をくすぐることがあれば
まだ何か私に話したいことですか	他にまだ私と話したいことでも	g
ちゃんと私に見習ってよね	ちゃんと私を見習ってよね
こんなに忙しくなければ、私もこのロマンチックな時間を楽しみたかった	こんなに忙しくなきゃ、私もこのロマンチックな時間を楽しめるのに
ハンドレストラン	ハンドのレストラン
私もよく浴場に風呂に入ってるんだけど、こういう面白い話を聞いたことがないね	私もよく浴場に行ってるんだけど、こういう面白い話を聞いたことがないね
私も剣と盾を持って森に入ったっことがある	私も剣と盾を持って森に入ったことがある
私は火山の女神の息がかかったプレゼントが欲しいな	私は火山の女神みたいな感じのプレゼントが欲しいな
私のお母さんは私にオペラの役者なって欲しいと思っていたけど	私のお母さんは私にオペラの役者になって欲しいと思っていたけど
森の王獣王の演劇	森の獣王の演劇
特別制のお料理	特別製のお料理
私にもその美しい幻想のことを教えてよ	私にもその美しいファンタジーのことを教えてよ
私がもっとあなたに仕事を任せていたのは、あなたを信頼してのことです	私があなたにより責任を与えるのは、あなたを信頼してのことです
グヴィネス様の意思が聖なる恩恵に同じ	グヴィネス様の意思は聖なる恩恵に同じ
さたに優秀に	さらに優秀に
この手紙で僕が君への真摯な愛が届きますように	この手紙で僕の君への真摯な愛が届きますように
僕お思いと共に無事君に届くことを願います	僕の思いと共に無事君に届くことを願います
グヴィネス姫の成年式が盛大に行う	グヴィネス姫の成年式が盛大に行われる
居民の皆さんは風邪を引かないように注意してください	住民の皆さんは風邪を引かないように注意してください
今は一新している	今は一新されている
彼女の才能と美貌がますます研ぎ澄まされており	彼女の才能と美貌はますます研ぎ澄まされており
もしあなたに才能と容姿に自信あり	もしあなたに才能と容姿に自信があり
新入メンバー	新人メンバー
近日客足が急増長し	近日客足が急上昇し
幸いなことに、死傷者が出ていません	幸いなことに、死傷者は出ていません
その羊たちを姿を目撃	その羊たちの姿を目撃
聖エルマ学院のクー某先輩が最近退学のスピーチを行った。彼女は退学して、峨眉山で猿として生きると言い、そうすれば通り過ぎる観光客にピンタを	聖エルマ学院の上級生が最近退学のスピーチを行った。彼女は退学して、峨眉山で猿として生きると言い、そうすれば通り過ぎる観光客にビンタを
曖昧な雰囲気が漂っている	甘い雰囲気が漂っている
幸せな気配が漂っている	幸せな空気が漂っている
今すぐバル?ミツワーに参加しますか	今すぐ成人式に参加しますか
タイトル返してよろしいですか	タイトルに戻りますか
保存してもよろしいですか	保存しますか
アーカイブを読んでもよろしいですか	アーカイブを読みますか
100Gを使いたいですか	100Gを使いますか
釣りの開始を確認した	釣りをしますか
右クリック：確認左クリック：オプション	右クリック：回答　左クリック：選択肢を変更
怪物倒した回数	倒したモンスター
黒街	裏通り	g
馬捕まえた回数	捕まえた馬
お父さんとお母さんが僕のこと嫌いになった。だから僕をこんなところにおいて行かれたんだ	お父さんとお母さんは僕のことが嫌いになったんだ。だから僕はこんなところにおいて行かれたんだ
合格な騎士は人を心配させたりしない	ちゃんとした騎士は人を心配させたりしない
なかなかにクレージーだね	なかなかにクレイジーだね
人から見れは、俺が魔物を殺すのは	人から見れば、俺が魔物を殺すのは
特に城区の難民は、当地ではいろんなトラブルを起こしてる	特に城区の難民は、いろんなトラブルを起こしてる
お父さん、私にどんなプレゼントを用意してくれましたか。	お父さん、プレゼントくれるの？
農婦は難民がたくさん土地と食料を分けたことについて悩んでいる	農婦は難民に多くの土地と食料をとられるのではと悩んでいる
こんな権力を振りかざクズどもに情けをかけるとは	こんな権力を振りかざすクズどもに情けをかけるとは
彼らの権利は動物いかだ	彼らの権利は動物以下だ
おばあさんがまだ私が薬を持ってくるのを待ってるんです	おばあさんが私が薬を持ってくるのを待ってるんです
このあたりに赤い髪の男の子知ってる	このあたりの赤い髪の男の子知ってる
でも彼、とんだ女たらしいみたいよ。どの女性にもヘラヘラしてるし、彼に気をつけるのよ	でも彼、とんだ女たらしみたいよ。どの女性にもヘラヘラしてるし、彼には気をつけるのよ
蔵も入りきれないくらい	蔵に入りきれないくらい
もし感染されたらどうするのよ	もし感染したらどうするのよ
しらない貴族に嫁がせられるわ	知らない貴族に嫁がせられるわ
昔から*は細心な子だ	昔から*は丁寧な子だ
お礼を言うために手紙を書いたね	お礼を言うために手紙を書いたよ
相手の身から落し物を拾っちゃった	相手の落し物を拾っちゃった
上辺だけの付き合いは避けるべく。	上辺だけの付き合いは避けるべし。
難易度が高いほど、より多くな報酬を獲得する	難易度が高いほど、より多くの報酬を獲得する
出かける支度が終わったか	出かける支度は終わったか
速く登録しよう	早く登録しよう
議論大好きなっ選手と観客方	議論大好きな選手と観客の皆様
火山祭は談笑の声の中で幕を落ちたのだった	火山祭は談笑の声の中で幕を下したのだった	g
斬新的な議論	斬新な議論	g
信じていなけらば	信じていなければ
まだ進路が決めてないわよね	まだ進路を決めてないわよね
ちょうどう私も祭壇が好きだし	ちょうど私も祭壇が好きだし
お腹を満たせることが人間の唯一の目的だったの	お腹を満たすことが人間の唯一の目的だったの
今日はこと服を着るといいよ	今日はこの服を着るといいよ
今日は私のラッキーだから	今日は私、運勢良いから
分かりました…ではおまかします	分かりました…ではお任せします
今日これを話したのも、その言葉聞きたかっただけ	今日これを話したのも、その言葉が聞きたかっただけ
私今日すごっくうれしくて幸せ	私今日すっごくうれしくて幸せ
麦の収穫を手伝ってところよ	麦の収穫を手伝ってたところよ
さっき新ニューを考えてたの	さっき新メニューを考えてたの
お店のことで忙してく	お店のことで忙しくて
しょうが無かっただけよ	しょうがなかっただけよ
秋の新メンニューが増えましたね	秋の新メニューが増えましたね
小麦って本当に素晴らしい食べ物だわ。パン、アップルパイ、クッキー、おかゆ	小麦って本当に素晴らしい食べ物だわ。パン、アップルパイ、クッキー、小麦粥
どんな食べ物を蓄えてるのか見て見たくて	どんな食べ物を蓄えてるのか見てみたくて
モナはスープチューリンを	モナはスープを
でも所詮は魔法のキャリアでしかない	でも所詮は魔法の運び手でしかない
運が良かった時は安くてきれいな骨董品が手に入るよ	運が良い時は安くてきれいな骨董品が手に入るよ
ここのテンドグラスを眺めるの	ここのステンドグラスを眺めるの
たまにシスターや教士たちに手伝ってボランティア活動	たまにシスターや教士たちを手伝ってボランティア活動
僕が王室での仕事がこれだよ	僕の王室での仕事がこれだよ
アイズボール	アイスボール
この間僕がどう取材するのか気になてたじゃん	この間僕がどう取材するのか気になってたじゃん
あなたが長年の努力を	あなたの長年の努力を
ゼの小刀	ゼイの小刀
彼女がいるやつやっぱ違うな	彼女がいるやつはやっぱ違うな
さっき軒先君をからかってる	さっき軒先で君をからかってる
勉強しているのは、族の人が狩りをしなくても	勉強しているのは、同族の人が狩りをしなくても
僕はずと君を守るよ	僕はずっと君を守るよ
麦の山の上の寝たいけど	麦の山の上で寝たいけど
穀物の上を寝たらきっと草とか	穀物の上で寝たらきっと草とか
ある人は静けさと和やかさから心の安らぎを得る	静けさと和やかさから心の安らぎを得る人もいる
素晴らしい作品を作り出すたに必要	素晴らしい作品を作り出すのに必要
僕ではこんな純潔なものが似合わないよ	僕にはこんな純潔なものは似合わないよ
君が大きくなったら、自分の趣味に気づいて	君が大きくなったら、自分の趣味を見つけて
信念は見えない薬見たいなもの	信念は見えない薬みたいなもの
みんなが願いは結局自分自身が解決しているんだ	ほとんどの問題は結局、自分自身で解決しているんだ
いろんな本を読むから、どれを進めたら	いろんな本を読むから、どれを勧めたら
焼き卵ならのさらおいしい	焼き卵ならさらにおいしい	g
君が着ているは東洋ではチャイナドレス	君が着ているのは東洋ではチャイナドレス
魔化した魚	魔物化した魚
ここにに忍び込んで	ここに忍び込んで
それは手取り足取りで読み聞かせる	それは身振り手振りで読み聞かせる
ランは恋愛に関しては丸太みたいだから、告白を何度も暗示たのを思い出すと、おかしくて	ランは恋愛に関しては朴念仁みたいだから、私に告白するようにほのめかした方法の数々を思い出すと、おかしくて
はいはい、丸太さん、小説はもういいから	はいはい、朴念仁さん、小説はもういいから
全部君の好きなもを選んだんだ	全部君の好きなものを選んだんだ
どんな立派な言葉でも足りないきがする	どんな立派な言葉でも足りない気がする
お前が楽しと思うなら	お前が楽しいと思うなら
人に見つめられるの好きじゃない	人に見つめられるのは好きじゃない
人はそれぞれ自分が生きていくための優勢がある	人はそれぞれ生きていくための長所がある
前に進めたければ	前に進みたければ
ステルス射撃の第一歩が地形を把握する	ステルス射撃の第一歩は地形を把握する
この勇気があるのはいいが	勇気があるのはいいが
親父から直接教えたわけ	親父から直接教えられたわけ
*を会いに来る男	*に会いに来る男	g
二日ぶりだけど、俺に会いたくない	二日ぶりだけど、俺に会いたくないか
犯人を追う時は怪我しなかったけど	犯人を追う時は怪我しなかったが
少し抱っこさせてくれないか	少し抱かせてくれないか
まさかお前は警備隊長になるとは	まさかお前が警備隊長になるとは
今度買い出しする時はハークトを連れてくな。あいついつもガラクタをたくさん持ち帰ってきて邪魔	今度買い出しする時はハークトを連れていくな。あいつはいつもガラクタをたくさん持ち帰ってきて邪魔なんだ
野生のやつの採ってやろう	野生のやつを採ってやろう
探り出すことがきでた	探り出すことができた
大分怠けいるように見えるけど、ちゃんと練習してる。	大分怠けているように見えるけど、ちゃんと練習してる？
これはの忘却の森で見つけたのか	これは忘却の森で見つけたのか
あなた達の教授は君主の策も教えのね	あなた達の教授は君主の策も教えるのね
今朝、まさか母上からあなたの話を聞いたのよ	今朝、母上からあなたの話を聞いたのよ
私が渡した本絶対また読む終わってない	私が渡した本絶対まだ読み終わってない
何でもないです、突然言いたいのです	何でもないです、突然言いたくなったのです
あなたが名誉騎士になられたことを嬉しく思うわ	あなたが名誉騎士になったことを嬉しく思うわ
ごきげんよ、*、ここではグヴィネスと呼びなさい	誕生日おめでとう、*、パーティーでも開いたほうがいいかしら
もう家族がそばにいない暮らしには慣たけど	もう家族がそばにいない暮らしには慣れたけど
毎日同じ味のものを作らなくでも	毎日同じ味のものを作らなくても
ようやくケンにその中の理論を理解	ようやくケンにその理論を理解
僕がもっと大人になったら、ちゃん言うよ	僕がもっと大人になったら、ちゃんと言うよ
古代遺跡発掘に携わってので	古代遺跡発掘に携わっていたので
大したことでなければ、自己紹介をしてくれないか	よければ、自己紹介をしてくれないか
校長先生にも、冬に外に出たがらない時期があるのですか	校長先生にも、冬に外に出たがらない時があるのですか
錬金術用語習っているのか	錬金術用語を習っているのか
ハイデス牙に付着している毒素はかなり致命的なので、ヘッジスの牙を持ち歩く場合、大切に保管したほうがいい	ハイデス牙を持っているなら、慎重に取り扱ったほうがいい。付着している毒素はかなり致命的だ
いろんな画面が頭をよぎりました	いろんなイメージが頭をよぎりました
目が覚めた時に使えるます	目が覚めた時に使えます
*はさんは幸せな子だから	*さんは幸せな子だから
ブライアン様がから用事がある	ブライアン様が用事がある
そうか、あんな弓術が得意で	そうか、あんなに弓術が得意で
このロープを着る	このローブを着る
私って機嫌がいいやつをみると殴りたくなるよね	私って機嫌がいいやつをみると殴りたくなるんだよね
レベッサさまが*に会いたいです	レベッサ領主が*騎士に会いたいと
レベッサさまが*騎士に港まで行って欲しいです	レベッサ領主が*騎士に港まで行って欲しいと
レベッサさまについてですが、緊急事態です	レベッサ領主についてですが、緊急事態です
